,task,condition,ocd_help,ocd_performance,ocd_productivity,ocd_effectiveness,ocd_easiness,ocd_usefulness,learn_ocd,ocd_tasks_help,ocd_interaction,ocd_skills,ocd_debugging,ocd_use,ocd_future,ocd_over_classical,education,job_position,program_exp,pharo_exp,code_frequency,pharo_frequency,debugger_familiarity,debugger_ocd_familarity,correctness,validity,time_in_seconds,actions,task_easiness,task_length,task_interruption,bug_found,debugger_help,debugger_enjoy,debugger_efficient,debugger_intuitive,debugger_easiness,debugger_learn
task,1.0,-0.05,0.16,0.17,0.15,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.19,0.12,0.2,0.13,0.21,0.16,0.2,0.15,0.12,0.3,0.05,0.18,-0.02,0.26,0.15,0.17,-0.05,-0.02,-0.07,0.01,-0.05,0.03
condition,-0.05,1.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.19,-0.18,-0.08,-0.07,-0.1,-0.1,-0.04,0.06,0.22,0.18,0.16,0.19,0.16,0.21
ocd_help,0.16,-0.0,1.0,0.96,0.79,0.86,0.82,0.86,0.83,0.8,0.78,0.78,0.74,0.74,0.79,0.74,0.32,0.1,0.27,0.14,0.4,0.32,0.24,0.19,0.32,0.41,-0.18,0.1,0.48,0.5,0.35,0.65,0.36,0.34,0.36,0.42,0.33,0.37
ocd_performance,0.17,-0.0,0.96,1.0,0.81,0.84,0.8,0.85,0.77,0.77,0.75,0.75,0.73,0.71,0.79,0.74,0.33,0.07,0.28,0.14,0.39,0.33,0.22,0.18,0.29,0.42,-0.16,0.13,0.45,0.54,0.34,0.63,0.33,0.29,0.33,0.39,0.3,0.34
ocd_productivity,0.15,0.0,0.79,0.81,1.0,0.89,0.84,0.87,0.81,0.81,0.8,0.79,0.8,0.77,0.83,0.78,0.23,0.08,0.21,0.08,0.43,0.4,0.21,0.15,0.3,0.4,-0.14,0.07,0.44,0.46,0.38,0.58,0.37,0.31,0.3,0.35,0.27,0.36
ocd_effectiveness,0.16,-0.0,0.86,0.84,0.89,1.0,0.9,0.93,0.89,0.86,0.85,0.84,0.83,0.82,0.88,0.81,0.34,0.12,0.25,0.13,0.46,0.38,0.29,0.19,0.33,0.44,-0.16,0.08,0.49,0.53,0.45,0.65,0.41,0.34,0.35,0.42,0.32,0.4
ocd_easiness,0.17,0.0,0.82,0.8,0.84,0.9,1.0,0.92,0.86,0.81,0.82,0.81,0.8,0.79,0.84,0.79,0.26,0.03,0.22,0.05,0.42,0.34,0.24,0.16,0.29,0.4,-0.17,0.04,0.47,0.47,0.37,0.67,0.41,0.42,0.37,0.44,0.37,0.46
ocd_usefulness,0.17,0.0,0.86,0.85,0.87,0.93,0.92,1.0,0.92,0.89,0.88,0.86,0.86,0.86,0.9,0.81,0.33,0.12,0.25,0.14,0.45,0.36,0.29,0.22,0.33,0.42,-0.19,0.09,0.5,0.51,0.45,0.69,0.46,0.42,0.42,0.49,0.41,0.48
learn_ocd,0.16,0.0,0.83,0.77,0.81,0.89,0.86,0.92,1.0,0.9,0.88,0.91,0.86,0.88,0.84,0.75,0.35,0.21,0.26,0.2,0.44,0.29,0.33,0.3,0.36,0.41,-0.2,0.02,0.54,0.47,0.45,0.68,0.46,0.46,0.44,0.49,0.42,0.51
ocd_tasks_help,0.15,0.0,0.8,0.77,0.81,0.86,0.81,0.89,0.9,1.0,0.91,0.9,0.86,0.89,0.84,0.75,0.27,0.14,0.18,0.16,0.39,0.32,0.25,0.26,0.38,0.41,-0.16,0.08,0.48,0.45,0.46,0.66,0.47,0.45,0.46,0.51,0.44,0.5
ocd_interaction,0.15,0.0,0.78,0.75,0.8,0.85,0.82,0.88,0.88,0.91,1.0,0.89,0.87,0.88,0.83,0.78,0.31,0.2,0.23,0.13,0.42,0.32,0.27,0.2,0.4,0.42,-0.14,0.01,0.52,0.48,0.49,0.7,0.51,0.5,0.49,0.54,0.45,0.5
ocd_skills,0.15,0.0,0.78,0.75,0.79,0.84,0.81,0.86,0.91,0.9,0.89,1.0,0.86,0.85,0.82,0.73,0.34,0.21,0.26,0.21,0.4,0.27,0.33,0.29,0.4,0.41,-0.17,0.02,0.5,0.46,0.43,0.66,0.42,0.4,0.4,0.46,0.39,0.45
ocd_debugging,0.15,0.0,0.74,0.73,0.8,0.83,0.8,0.86,0.86,0.86,0.87,0.86,1.0,0.95,0.9,0.8,0.27,0.14,0.2,0.18,0.43,0.29,0.3,0.21,0.37,0.41,-0.12,0.07,0.45,0.47,0.4,0.62,0.44,0.41,0.4,0.46,0.38,0.47
ocd_use,0.15,0.0,0.74,0.71,0.77,0.82,0.79,0.86,0.88,0.89,0.88,0.85,0.95,1.0,0.89,0.79,0.28,0.19,0.21,0.23,0.42,0.33,0.28,0.24,0.38,0.41,-0.15,0.05,0.47,0.46,0.41,0.64,0.46,0.46,0.44,0.49,0.44,0.5
ocd_future,0.15,0.0,0.79,0.79,0.83,0.88,0.84,0.9,0.84,0.84,0.83,0.82,0.9,0.89,1.0,0.86,0.28,0.14,0.18,0.15,0.41,0.36,0.25,0.17,0.39,0.44,-0.12,0.13,0.45,0.52,0.4,0.63,0.4,0.37,0.38,0.44,0.35,0.44
ocd_over_classical,0.14,0.0,0.74,0.74,0.78,0.81,0.79,0.81,0.75,0.75,0.78,0.73,0.8,0.79,0.86,1.0,0.26,0.19,0.17,0.04,0.38,0.33,0.2,0.17,0.33,0.4,-0.08,0.1,0.39,0.48,0.34,0.59,0.38,0.37,0.33,0.38,0.34,0.42
