"task","condition","ocd_help","ocd_performance","ocd_productivity","ocd_effectiveness","ocd_easiness","ocd_usefulness","learn_ocd","ocd_tasks_help","ocd_interaction","ocd_skills","ocd_debugging","ocd_use","ocd_future","ocd_over_classical","education","job_position","program_exp","pharo_exp","code_frequency","pharo_frequency","debugger_familiarity","debugger_ocd_familarity","correctness","validity","time_in_seconds","actions","task_easiness","task_length","task_interruption","bug_found","debugger_help","debugger_enjoy","debugger_efficient","debugger_intuitive","debugger_easiness","debugger_learn"
"2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","1","2610.0","101.0","0","0","0","0","0","0","0","0","0","0"
"2","1","3","3","2","3","3","3","3","0","0","0","0","0","0","0","3","1","3","1","4","4","3","3","0","2","362.0","4.0","3","3","0","2","0","0","0","0","0","0"
"2","1","4","4","4","4","4","4","3","4","4","3","3","4","3","2","2","2","5","4","4","4","5","4","1","1","904.0","56.0","3","3","1","1","4","4","5","5","4","4"
"1","1","5","4","4","5","3","4","5","4","5","4","5","5","5","3","4","2","5","4","3","3","5","2","1","1","1060.0","67.0","4","4","5","1","3","4","3","2","2","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","5","5","2","2","4","4","1","1","2186.0","105.0","3","0","0","2","0","0","0","0","0","0"
"2","1","4","4","3","4","4","4","5","4","4","4","4","4","4","4","5","2","4","1","4","1","4","4","1","1","1434.0","12.0","3","3","5","1","1","3","0","0","0","3"
"2","1","4","4","4","3","5","4","4","3","3","3","2","3","4","3","3","1","3","1","3","3","2","1","1","1","2792.0","330.0","3","3","5","1","2","3","2","2","3","3"
"1","1","3","3","3","3","4","5","5","3","4","4","5","5","4","3","5","3","5","4","4","2","5","3","1","1","1444.0","13.0","3","2","5","1","5","5","3","3","4","4"
"1","1","3","4","4","4","4","5","5","4","4","4","5","5","5","3","5","2","4","4","3","2","5","3","1","1","1433.0","28.0","4","2","5","1","2","4","4","5","5","4"
"2","1","4","5","4","4","2","4","3","3","2","3","3","3","4","3","5","3","5","5","2","2","2","1","1","1","2023.0","165.0","2","4","5","2","0","0","0","0","0","0"
"1","1","4","4","4","3","4","5","4","4","4","4","4","4","4","4","3","2","5","4","4","4","5","4","1","1","850.0","29.0","4","3","1","1","5","4","3","4","4","4"
"1","1","3","4","4","3","3","4","3","3","3","3","4","4","4","3","4","1","3","2","4","4","3","2","1","1","1984.0","138.0","3","3","5","1","5","4","4","3","4","4"
"1","1","4","5","4","4","4","4","3","2","3","2","4","4","5","4","2","1","4","1","4","4","3","2","1","1","812.0","6.0","4","3","5","2","0","0","0","0","0","0"
"2","1","4","5","4","5","4","5","4","4","4","4","4","3","5","5","5","2","5","3","3","3","4","4","1","1","560.0","10.0","4","3","2","1","3","2","3","4","3","3"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","2","5746.0","94.0","0","0","0","0","0","0","0","0","0","0"
"1","1","4","3","3","3","4","4","5","4","4","4","4","4","3","3","1","1","2","1","3","3","4","4","1","1","782.0","5.0","5","1","5","2","0","0","0","0","0","0"
"2","1","4","4","0","4","4","5","4","4","4","5","3","4","5","3","5","2","4","4","4","4","5","4","1","1","1070.0","134.0","2","4","5","1","1","0","2","3","3","2"
"1","1","5","5","5","5","5","5","4","4","4","4","3","4","4","5","4","1","3","2","2","2","3","4","2","1","1539.0","81.0","3","4","5","2","2","2","0","0","0","0"
"1","1","3","4","4","4","4","3","3","2","3","4","3","2","4","2","4","4","3","3","3","2","4","2","1","1","1493.0","75.0","3","4","0","2","0","0","0","0","0","0"
"2","1","4","4","4","4","4","4","4","4","3","4","5","4","4","3","4","1","3","2","3","1","4","2","1","1","1376.0","71.0","2","4","5","1","3","2","2","2","3","3"
