"id","task","condition","ocd-help","ocd-performance","ocd-productivity","ocd-effectiveness","ocd-easiness","ocd-usefulness","learn-ocd","ocd-tasks-help","ocd-interaction","ocd-skills","ocd-debugging","ocd-use","ocd-future","ocd-over-classical","education","job-position","program-exp","pharo-exp","code-frequency","pharo-frequency","debugger-familiarity","debugger-ocd-familarity","correctness","validity","time_in_seconds","answer","actions","task-easiness","task-length","task-interruption","bug-found","bug-description","debugger-help","debugger-enjoy","debugger-efficient","debugger-intuitive","debugger-easiness","debugger-learn"
"User-70721c71-20d5-0d00-a35f-0b230f90ea5645210598000000","Lights Out","control","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","1","2610","offcolor = onColorposition: was overloaded and had the setter, so removed that.used the cell inspector to find that the colors where the same and then spent some time finding the mutator of the value","101","0","0","0","0","","0","0","0","0","0","0"
"User-88a6276f-6bd5-0d00-a386-0d050eac3a2a50500325000000","Lights Out","control","3","3","2","3","3","3","3","0","0","0","0","0","0","0","3","1","3","1","4","4","3","3","0","2","362","","4","3","3","0","2","","0","0","0","0","0","0"
"User-a2904209-ccc2-0d00-9778-6c840e6ed7ae51481712831000","Lights Out","control","4","4","4","4","4","4","3","4","4","3","3","4","3","2","2","2","5","4","4","4","5","4","1","1","904","One of the corner switches could not be switched on because the method LOCell >> #position contains logic to set the ""on"" color to the ""off"" color when the position of a LOCell was requested to change to a new point.I fixed the bug by removing the method.","56","3","3","1","1","One of the corner switches could not be switched on because the method LOCell >> #position contains logic to set the ""on"" color to the ""off"" color when the position of a LOCell was requested to change to a new point.I fixed the bug by removing the method.","3","4","5","5","4","4"
"User-20d31f99-86c4-0d00-a363-69a60df93b8251470900000000","Ammolite","control","5","4","4","5","3","4","5","4","5","4","5","5","5","3","4","2","5","4","3","3","5","2","1","1","1060","Student datas are wrong for Adèle, there is a mistake space character in near the '+' marker. Fix it by editing student datas list in Magenta>>students  (remove the space).","67","4","4","5","1","wrong data set with a not necessary space character","2","4","3","2","2","0"
"User-4a048f49-eec8-0d00-89f7-047b0e96ebda52859119709000","Ammolite","control","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","5","5","2","2","4","4","1","1","2186","because of trailing white space into the data 'Adèle +<space>'Fix: I removed this space.One could implement data sanitization.","105","3","0","0","2","","0","0","0","0","0","0"
"User-ed55061c-3ec9-0d00-a350-948600bad96b50092571130000","Lights Out","control","4","4","3","4","4","4","5","4","4","4","4","4","4","4","5","2","4","1","4","1","4","4","1","1","1434","In the class superclass of LoCell, there were a method getCorner and setCorner that randomly pointed to one of the corners of the grid in the class variabl corner. To fix the bug, I just deleted the part of the code in the instance method position: where it assigned the off color value to the onColor variable of thie designated corner.","12","3","3","5","1","There was a method that assigned the off color vallue to the onColor variable in one corner chosen at random","1","3","0","0","0","3"
"User-30fea0eb-a9ce-0d00-a302-90c20599b4b549095230000000","Lights Out","control","4","4","4","3","5","4","4","3","3","3","2","3","4","3","3","1","3","1","3","3","2","1","1","1","2792","The oncolor was changed during launching in position: function, i disabled that part of the code.","330","3","3","5","1","The oncolor was changed to disble for certains corners during the launch of the game","2","3","2","2","3","3"
"User-c8a391b2-37c4-0d00-a3a8-58c20cf6a8a136595373000000","Ammolite","control","3","3","3","3","4","5","5","3","4","4","5","5","4","3","5","3","5","4","4","2","5","3","1","1","1444","The level marker had a space after it ('+ ') for the 3rd instance of Adèle. Removing that space fixes the bug (or alternatively, using some ""starts with"" logic could fix it, etc.","13","3","2","5","1","The marker for Adèle 3 had a space after the + character. The logic to display the marker didn't expect that space to be there (the space was not easily visible in the GUI).","5","5","3","3","4","4"
"User-db760d46-7fc9-0d00-97ab-324f019c690156370555628000","Ammolite","control","3","4","4","4","4","5","5","4","4","4","5","5","5","3","5","2","4","4","3","2","5","3","1","1","1433","Because the marker of this student have an additional space at the end of the string marker. ""+ "". There is an if that compare with ""+"" without space.","28","4","2","5","1","the bug was that the student mark has an additional space at the end ""+ "". The the object that diplay the name was fixed to consider ""+"" without space.","2","4","4","5","5","4"
"User-4668c96e-89c5-0d00-9783-d8cd0cfee47536357123175000","Lights Out","control","4","5","4","4","2","4","3","3","2","3","3","3","4","3","5","3","5","5","2","2","2","1","1","1","2023","I was not able to fix it.I only put break point on the corner. However, the behavior was the same for each corner.","165","2","4","5","2","","0","0","0","0","0","0"
