"","","","","Disagree","Nor disagree or agree","Agree","Strongly Agree"
"1","experiment.easiness","74","0","25.676","29.73","41.892","2.703"
"2","experiment.length","73","2.74","21.918","30.137","42.466","2.74"
"3","ocd.help","69","0","1.449","17.391","55.072","26.087"
"4","ocd.performance","69","0","0","11.594","56.522","31.884"
"5","ocd.productivity","68","0","4.412","23.529","54.412","17.647"
"6","ocd.effectiveness","69","0","0","20.29","53.623","26.087"
"7","ocd.easiness","68","0","2.941","13.235","64.706","19.118"
"8","ocd.usefulness","68","0","1.471","4.412","50","44.118"
"9","learn.ocd","68","0","2.941","20.588","45.588","30.882"
"10","ocd.tasks.help","67","0","7.463","29.851","52.239","10.448"
"11","ocd.interaction","67","0","5.97","25.373","58.209","10.448"
"12","ocd.skills","67","0","4.478","23.881","53.731","17.91"
"13","ocd.debugging","66","0","4.545","15.152","54.545","25.758"
"14","ocd.use","66","0","4.545","22.727","45.455","27.273"
"15","ocd.future","66","0","0","10.606","39.394","50"
"16","ocd.over.classical","66","0","9.091","45.455","27.273","18.182"
