"","","","","Disagree","Nor disagree or agree","Agree","Strongly Agree"
"1","ct.task.easiness","35","0","37.143","28.571","31.429","2.857"
"2","tt.task.easiness","34","14.706","32.353","35.294","17.647","0"
"3","ct.task.length","35","5.714","22.857","42.857","22.857","5.714"
"4","tt.task.length","33","3.03","24.242","12.121","57.576","3.03"
"5","ct.debugger.enjoy","23","4.348","21.739","52.174","21.739","0"
"6","tt.debugger.enjoy","23","0","8.696","30.435","43.478","17.391"
"7","ct.debugger.efficient","22","0","40.909","27.273","18.182","13.636"
"8","tt.debugger.efficient","21","0","4.762","38.095","38.095","19.048"
"9","ct.debugger.intuitive","22","0","36.364","27.273","31.818","4.545"
"10","tt.debugger.intuitive","23","0","8.696","34.783","47.826","8.696"
"11","ct.debugger.easiness","22","4.545","22.727","50","22.727","0"
"12","tt.debugger.easiness","20","0","0","35","45","20"
"13","ct.debugger.learn","23","0","17.391","56.522","21.739","4.348"
"14","tt.debugger.learn","23","0","8.696","17.391","47.826","26.087"
