"task","condition","ocd_help","ocd_performance","ocd_productivity","ocd_effectiveness","ocd_easiness","ocd_usefulness","learn_ocd","ocd_tasks_help","ocd_interaction","ocd_skills","ocd_debugging","ocd_use","ocd_future","ocd_over_classical","education","job_position","program_exp","pharo_exp","code_frequency","pharo_frequency","debugger_familiarity","debugger_ocd_familarity","correctness","validity","time_in_seconds","actions","task_easiness","task_length","task_interruption","bug_found","debugger_help","debugger_enjoy","debugger_efficient","debugger_intuitive","debugger_easiness","debugger_learn"
"2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2610.0","101.0","0","0","0","0","0","0","0","0","0","0"
"2","1","3","3","2","3","3","3","3","0","0","0","0","0","0","0","3","1","3","1","4","4","3","3","0","1","362.0","4.0","3","3","0","1","0","0","0","0","0","0"
"2","1","4","4","4","4","4","4","3","4","4","3","3","4","3","2","2","4","5","4","4","4","5","4","2","2","904.0","56.0","3","3","1","2","4","4","5","5","4","4"
"1","1","5","4","4","5","3","4","5","4","5","4","5","5","5","3","4","4","5","4","3","3","5","2","2","2","1060.0","67.0","4","4","5","2","3","4","3","2","2","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","5","5","2","2","4","4","2","2","2186.0","105.0","3","0","0","1","0","0","0","0","0","0"
"2","1","4","4","3","4","4","4","5","4","4","4","4","4","4","4","5","4","4","1","4","1","4","4","2","2","1434.0","12.0","3","3","5","2","1","3","0","0","0","3"
"2","1","4","4","4","3","5","4","4","3","3","3","2","3","4","3","3","1","3","1","3","3","2","1","2","2","2792.0","330.0","3","3","5","2","2","3","2","2","3","3"
"1","1","3","3","3","3","4","5","5","3","4","4","5","5","4","3","5","3","5","4","4","2","5","3","2","2","1444.0","13.0","3","2","5","2","5","5","3","3","4","4"
"1","1","3","4","4","4","4","5","5","4","4","4","5","5","5","3","5","4","4","4","3","2","5","3","2","2","1433.0","28.0","4","2","5","2","2","4","4","5","5","4"
"2","1","4","5","4","4","2","4","3","3","2","3","3","3","4","3","5","3","5","5","2","2","2","1","2","2","2023.0","165.0","2","4","5","1","0","0","0","0","0","0"
"1","1","4","4","4","3","4","5","4","4","4","4","4","4","4","4","3","4","5","4","4","4","5","4","2","2","850.0","29.0","4","3","1","2","5","4","3","4","4","4"
"1","1","3","4","4","3","3","4","3","3","3","3","4","4","4","3","4","1","3","2","4","4","3","2","2","2","1984.0","138.0","3","3","5","2","5","4","4","3","4","4"
"1","1","4","5","4","4","4","4","3","2","3","2","4","4","5","4","2","1","4","1","4","4","3","2","2","2","812.0","6.0","4","3","5","1","0","0","0","0","0","0"
"2","1","4","5","4","5","4","5","4","4","4","4","4","3","5","5","5","4","5","3","3","3","4","4","2","2","560.0","10.0","4","3","2","2","3","2","3","4","3","3"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5746.0","94.0","0","0","0","0","0","0","0","0","0","0"
"1","1","4","3","3","3","4","4","5","4","4","4","4","4","3","3","1","1","2","1","3","3","4","4","2","2","782.0","5.0","5","1","5","1","0","0","0","0","0","0"
"2","1","4","4","0","4","4","5","4","4","4","5","3","4","5","3","5","4","4","4","4","4","5","4","2","2","1070.0","134.0","2","4","5","2","1","0","2","3","3","2"
"1","1","5","5","5","5","5","5","4","4","4","4","3","4","4","5","4","1","3","2","2","2","3","4","1","2","1539.0","81.0","3","4","5","1","2","2","0","0","0","0"
"1","1","3","4","4","4","4","3","3","2","3","4","3","2","4","2","4","0","3","3","3","2","4","2","2","2","1493.0","75.0","3","4","0","1","0","0","0","0","0","0"
"2","1","4","4","4","4","4","4","4","4","3","4","5","4","4","3","4","1","3","2","3","1","4","2","2","2","1376.0","71.0","2","4","5","2","3","2","2","2","3","3"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","3","2","2","1","4","3","2","1","6946.0","227.0","1","4","4","2","4","3","4","0","4","0"
"1","1","4","4","4","4","4","5","4","4","3","4","4","4","5","3","4","1","4","3","3","3","4","4","2","2","717.0","16.0","3","3","5","1","0","0","0","0","0","0"
"1","1","4","4","3","4","4","4","4","4","4","4","4","4","4","3","4","0","0","0","0","0","0","0","2","1","10004.0","47.0","1","5","2","2","3","2","2","4","3","4"
"1","1","5","5","5","4","4","5","5","3","3","5","4","4","5","3","5","4","5","5","4","3","5","3","2","2","766.0","56.0","5","2","0","1","0","0","0","0","0","0"
"2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","2","4","4","4","2","2","2","1376.0","83.0","0","0","0","0","0","0","0","0","0","0"
"2","1","5","5","4","5","5","5","5","5","3","3","5","5","5","4","4","1","3","2","3","3","5","4","2","2","2036.0","140.0","2","5","1","1","3","1","2","2","1","3"
"2","1","5","5","5","5","2","5","5","5","5","5","5","5","5","3","5","4","3","3","4","3","4","4","2","2","2508.0","176.0","3","5","5","1","0","0","0","0","0","0"
"2","1","5","5","5","4","4","5","5","4","4","4","4","5","5","4","5","4","4","4","4","4","4","4","2","2","1087.0","7.0","4","3","5","2","1","3","3","3","3","3"
"1","1","4","4","4","4","4","5","5","5","5","5","5","5","5","3","4","4","5","5","4","3","4","3","2","2","587.0","24.0","5","2","5","2","3","3","4","3","4","3"
"2","1","4","4","4","4","4","4","4","4","4","4","0","0","0","0","5","3","5","2","3","2","4","2","2","2","1620.0","27.0","3","3","5","2","2","3","3","3","3","3"
"1","1","4","4","4","4","3","4","4","3","4","3","4","3","5","4","4","4","2","2","4","4","4","2","2","2","1812.0","14.0","4","3","5","2","4","4","4","2","3","4"
"1","1","2","3","3","3","3","2","2","2","2","3","3","3","3","3","4","4","4","3","3","3","3","2","2","2","1864.0","23.0","2","4","1","2","2","3","2","2","3","3"
"1","1","0","0","5","5","5","5","5","4","4","4","5","5","5","4","4","4","3","3","4","4","5","4","2","2","1015.0","38.0","5","1","5","1","5","3","4","3","4","3"
"2","1","4","4","4","5","4","4","5","5","4","5","4","5","5","3","4","4","4","4","4","4","5","3","2","2","588.0","50.0","4","2","5","2","0","0","0","0","0","0"
"1","1","5","5","5","5","4","5","4","4","4","4","4","4","5","5","4","4","3","2","4","4","4","2","2","2","1145.0","97.0","1","4","1","2","0","0","0","0","0","0"
"2","1","4","4","3","4","4","4","4","2","2","4","4","3","4","3","5","4","4","3","4","1","5","2","2","2","1145.0","53.0","3","2","1","2","0","0","0","0","0","0"
"2","1","4","4","4","4","4","5","5","4","4","5","5","5","5","3","3","4","5","4","2","2","5","3","2","2","2283.0","142.0","3","3","1","2","3","4","4","4","2","4"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3259.0","51.0","0","0","0","0","0","0","0","0","0","0"
