Ammolite_Actions-actions;Ammolite_Actions-time;Ammolite_Actions-usage;Ammolite_Active-actions;Ammolite_Active-time;Ammolite_Active-usage;Ammolite_Application-actions;Ammolite_Application-time;Ammolite_Application-usage;Ammolite_Breakpoint-actions;Ammolite_Breakpoint-time;Ammolite_Breakpoint-usage;Ammolite_Browser-actions;Ammolite_Browser-time;Ammolite_Browser-usage;Ammolite_Condition;Ammolite_Debugger-actions;Ammolite_Debugger-time;Ammolite_Debugger-usage;Ammolite_External_Window-actions;Ammolite_External_Window-time;Ammolite_External_Window-usage;Ammolite_Implementors-actions;Ammolite_Implementors-time;Ammolite_Implementors-usage;Ammolite_Inspector-actions;Ammolite_Inspector-time;Ammolite_Inspector-usage;Ammolite_Methods-actions;Ammolite_Methods-time;Ammolite_Methods-usage;Ammolite_References-actions;Ammolite_References-time;Ammolite_References-usage;Ammolite_Senders-actions;Ammolite_Senders-time;Ammolite_Senders-usage;Ammolite_Spotter-actions;Ammolite_Spotter-time;Ammolite_Spotter-usage;Ammolite_Transcript-actions;Ammolite_Transcript-time;Ammolite_Transcript-usage;Ammolite_Unknown_Window-actions;Ammolite_Unknown_Window-time;Ammolite_Unknown_Window-usage;Ammolite_Users-actions;Ammolite_Users-time;Ammolite_Users-usage;Ammolite_Writers-actions;Ammolite_Writers-time;Ammolite_Writers-usage;Lights_Out_Active-actions;Lights_Out_Active-time;Lights_Out_Active-usage;Lights_Out_Application-actions;Lights_Out_Application-time;Lights_Out_Application-usage;Lights_Out_Breakpoint-actions;Lights_Out_Breakpoint-time;Lights_Out_Breakpoint-usage;Lights_Out_Browser-actions;Lights_Out_Browser-time;Lights_Out_Browser-usage;Lights_Out_Condition;Lights_Out_Debugger-actions;Lights_Out_Debugger-time;Lights_Out_Debugger-usage;Lights_Out_External_Window-actions;Lights_Out_External_Window-time;Lights_Out_External_Window-usage;Lights_Out_Implementors-actions;Lights_Out_Implementors-time;Lights_Out_Implementors-usage;Lights_Out_Inspector-actions;Lights_Out_Inspector-time;Lights_Out_Inspector-usage;Lights_Out_Methods-actions;Lights_Out_Methods-time;Lights_Out_Methods-usage;Lights_Out_References-actions;Lights_Out_References-time;Lights_Out_References-usage;Lights_Out_Senders-actions;Lights_Out_Senders-time;Lights_Out_Senders-usage;Lights_Out_Spotter-actions;Lights_Out_Spotter-time;Lights_Out_Spotter-usage;Lights_Out_Transcript-actions;Lights_Out_Transcript-time;Lights_Out_Transcript-usage;Lights_Out_Unknown_Window-actions;Lights_Out_Unknown_Window-time;Lights_Out_Unknown_Window-usage;Lights_Out_Users-actions;Lights_Out_Users-time;Lights_Out_Users-usage;Lights_Out_Writers-actions;Lights_Out_Writers-time;Lights_Out_Writers-usage
;;;;;;0;1153;9;;;;2;500;5;control;7;193;4;;;;0;613;12;0;93;6;;;;2;330;2;0;249;3;0;0;1;;;;4;193;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;14;1;;;;0;176;2;treatment;14;428;4;;;;0;98;1;0;229;6;;;;;;;;;;;;;;;;1;131;4;;;;;;
;;;;;;0;283;10;;;;3;305;7;control;;;;0;153;1;;;;0;51;2;;;;;;;;;;0;8;1;;;;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;49;11;0;30;2;19;1804;9;treatment;3;419;29;0;0;1;0;57;8;5;649;63;;;;;;;;;;;;;;;;2;100;2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;200;6;;;;6;1077;8;control;6;49;3;;;;0;16;2;0;157;4;;;;0;24;1;0;25;3;;;;;;;5;121;4;;;;;;
;;;;;;0;225;5;;;;1;62;4;treatment;26;110;4;;;;;;;0;125;3;;;;;;;0;4;1;;;;;;;0;129;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;419;10;;;;9;823;2;control;30;821;23;;;;0;31;1;4;391;12;;;;;;;0;6;1;0;1;1;;;;4;48;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;403;2;0;24;1;0;325;3;treatment;42;1429;55;;;;0;3;1;1;416;10;;;;;;;;;;0;2;1;;;;0;212;4;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;151;6;;;;0;599;6;control;0;3;2;0;179;1;0;1;1;0;1034;12;;;;;;;;;;0;264;7;;;;4;2;2;;;;;;
;;;;;;0;342;12;0;43;3;0;1071;5;treatment;0;572;7;0;233;1;;;;0;211;12;;;;;;;;;;0;52;1;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
