,Ammolite actions control,Ammolite actions treatment,,Ammolite time control,Ammolite time treatment,,Lights Out actions control,Lights Out actions treatment,,Lights Out time control,Lights Out time treatment,
,25,56,,43.21642900,12.72853900,,24,35,,32.25428800,19.56380000,
,7,5,,12.74677300,46.19676700,,4,31,,41.65945,67.32630800,
,103,209,,45.20629900,33.52072100,,86,132,,117.7795470,53.39072200,
,11,307,,19.30411700,32.91298800,,12,108,,46.27284200,24.77845,
,97,58,,30.9961220,14.102607,,272,362,,19.0938470,39.26679500,
,752,25,,45.65373300,26.20968900,,14,111,,34.33623400,43.52703300,
,5,21,,13.04378300,34.23635100,,202,484,,43.50258300,64.63583800,
,304,137,,52.33498300,32.15696500,,65,70,,17.72555000,37.35168800,
,181,83,,54.3199810,19.03081400,,63,235,,35.09123500,35.61070500,
,6,150,,13.54265800,16.64066700,,291,420,,38.05941000,72.93473100,
,6,41,,16.66276700,17.0163840,,152,313,,16.1417220,44.13138300,
,9,37,,15.30344600,13.72171900,,648,21,,46.54405,21.80299200,
,97,8,,95.77311700,6.604909000,,5,8,,20.55268800,9.380304000,
,140,139,,24.89988200,17.41082300,,157,376,,20.01084400,84.5696,
,303,121,,21.33039600,24.64641700,,260,187,,41.81097600,56.9250830,
,194,114,,19.08738300,24.95960900,,121,15,,22.93442700,22.72113400,
,108,47,,31.06825400,11.8388780,,47,142,,9.334833000,60.67537200,
,67,19,,22.77050300,11.3404030,,315,142,,35.00226000,37.88122600,
,106,134,,166.7398170,16.56815,,12,26,,23.90639400,27.45993300,
,44,41,,23.88798100,14.90236700,,5,83,,8.72116000,8.38575500,
,9,6,,11.45566300,12.6819760,,282,376,,17.83565,19.77279200,
,169,219,,36.44731700,24.52150800,,289,1880,,29.42876700,71.23703300,
,212,34,,45.30098400,16.968573,,7,416,,18.1196190,47.98658300,
,409,54,,115.7734900,15.28671700,,328,24,,33.72255100,11.6144,
,52,38,,40.22748300,10.06805,,17,9,,39.24822800,21.03641500,
,89,74,,12.78092500,22.34258100,,50,202,,27.00363400,38.12748300,
,18,54,,8.022394000,36.44823600,,878,167,,41.60955,22.67880300,
,329,25,,50.03358000,17.3920240,,5,15,,5.944517000,24.04221500,
,777,11,,29.64486700,9.214150000,,87,405,,17.0357630,49.7887980,
,40,19,,22.52255,11.40491000,,132,65,,15.73385900,27.09153300,
,130,108,,17.67501700,14.26813600,,166,160,,28.74147800,19.9769970,
,36,56,,13.91330600,26.29608,,64,26,,24.70417500,20.6250450,
,52,23,,24.07785,20.90921700,,62,151,,15.07786400,52.32113000,
,180,19,,25.65731900,15.94068400,,78,314,,9.809160000,33.91882100,
,41,,,9.7884750,,,366,,,27.22007600,,
,421,,,43.6192650,,,257,,,34.94024700,,
,47,,,15.18212100,,,141,,,22.94467900,,
,21,,,30.20965,,,19,,,35.51784000,,
,338,,,33.08203700,,,,,,,,
,63,,,16.93052700,,,,,,,,
,32,,,11.9559640,,,,,,,,
,238,,,55.8062590,,,,,,,,
,Ammolite actions control,Ammolite actions treatment,,Ammolite time control,Ammolite time treatment,,Lights Out actions control,Lights Out actions treatment,,Lights Out time control,Lights Out time treatment,
Min,5.000,5.000,Min,8.022,6.605,Min,4.000,8.000,Min,5.945,8.386,
Q1,33.000,23.500,Q1,15.643,13.817,Q1,20.250,32.000,Q1,17.907,22.022,
Median,93.000,50.500,Median,24.489,16.992,Median,86.500,142.000,Median,27.112,36.481,
Q2,190.750,112.500,Q2,43.519,24.881,Q2,259.250,313.750,Q2,35.411,51.688,
Max,777.000,307.000,Max,166.740,46.197,Max,878.000,1880.000,Max,117.780,84.570,
IQR,157.750,89.000,IQR,27.876,11.064,IQR,239.000,281.750,IQR,17.504,29.666,
Lower Bound,-203.625,-110.000,Lower Bound,-26.171,-2.779,Lower Bound,-338.250,-390.625,Lower Bound,-8.349,-22.477,
Upper Bound,427.375,246.000,Upper Bound,85.333,41.477,Upper Bound,617.750,736.375,Upper Bound,61.667,96.187,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,
